,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
231,1505064,30473,80.5,5.9,13.6,0.0,PA,24531.0,1798.0,4144.0,0.0
232,1505106,25899,97.3,1.6,1.1,0.0,PA,25200.0,414.0,285.0,0.0
233,1505205,12029,93.6,6.0,0.4,0.0,PA,11259.0,722.0,48.0,0.0
234,1505304,42722,53.5,42.9,3.6,0.0,PA,22856.0,18328.0,1538.0,0.0
235,1505403,7686,81.3,17.8,1.0,0.0,PA,6249.0,1368.0,77.0,0.0
236,1505437,21506,60.6,37.4,2.0,0.0,PA,13033.0,8043.0,430.0,0.0
237,1505486,14805,91.0,8.6,0.4,0.0,PA,13473.0,1273.0,59.0,0.0
238,1505494,4540,99.3,0.2,0.4,0.0,PA,4508.0,9.0,18.0,0.0
239,1505502,81170,80.1,9.9,0.0,10.0,PA,65017.0,8036.0,0.0,8117.0
240,1505536,159122,55.8,32.2,0.0,12.0,PA,88790.0,51237.0,0.0,19095.0
241,1505551,3466,99.2,0.6,0.3,0.0,PA,3438.0,21.0,10.0,0.0
242,1505601,4188,51.4,48.0,0.6,0.0,PA,2153.0,2010.0,25.0,0.0
243,1505635,3587,99.5,0.0,0.5,0.0,PA,3569.0,0.0,18.0,0.0
244,1505650,5444,95.3,3.5,1.2,0.0,PA,5188.0,191.0,65.0,0.0
245,1505700,13392,65.9,16.6,17.5,0.0,PA,8825.0,2223.0,2344.0,0.0
246,1505809,26720,82.8,16.0,1.3,0.0,PA,22124.0,4275.0,347.0,0.0
247,1505908,15822,75.3,21.4,3.3,0.0,PA,11914.0,3386.0,522.0,0.0
248,1506005,8957,89.3,9.5,1.2,0.0,PA,7999.0,851.0,107.0,0.0
249,1506104,6493,44.7,53.3,2.1,0.0,PA,2902.0,3461.0,136.0,0.0
250,1506112,5496,48.8,50.8,0.4,0.0,PA,2682.0,2792.0,22.0,0.0
251,1506138,73268,89.8,10.2,0.0,0.0,PA,65795.0,7473.0,0.0,0.0
252,1506161,13571,87.7,11.6,0.7,0.0,PA,11902.0,1574.0,95.0,0.0
253,1506187,36170,95.8,0.7,3.5,0.0,PA,34651.0,253.0,1266.0,0.0
254,1506195,16897,88.3,10.4,1.3,0.0,PA,14920.0,1757.0,220.0,0.0
255,1506203,34400,49.8,47.0,3.1,0.0,PA,17131.0,16168.0,1066.0,0.0
256,1506302,13557,94.7,4.4,1.0,0.0,PA,12838.0,597.0,136.0,0.0
257,1506351,5966,90.2,6.9,2.8,0.0,PA,5381.0,412.0,167.0,0.0
258,1506401,4387,79.1,19.0,1.9,0.0,PA,3470.0,834.0,83.0,0.0
259,1506500,46259,88.6,10.2,1.3,0.0,PA,40985.0,4718.0,601.0,0.0
260,1506559,8707,64.2,33.8,2.0,0.0,PA,5590.0,2943.0,174.0,0.0
261,1506583,6995,90.7,8.8,0.5,0.0,PA,6344.0,616.0,35.0,0.0
262,1506609,13689,97.6,1.3,1.1,0.0,PA,13360.0,178.0,151.0,0.0
263,1506708,33296,84.3,14.2,1.5,0.0,PA,28069.0,4728.0,499.0,0.0
264,1506807,211308,50.6,46.6,2.8,0.0,PA,106922.0,98470.0,5917.0,0.0
265,1506906,1868,34.3,63.7,2.0,0.0,PA,641.0,1190.0,37.0,0.0
266,1507003,15931,88.7,10.5,0.8,0.0,PA,14131.0,1673.0,127.0,0.0
267,1507102,7112,87.8,11.5,0.7,0.0,PA,6244.0,818.0,50.0,0.0
268,1507151,15836,91.4,7.7,0.9,0.0,PA,14474.0,1219.0,143.0,0.0
269,1507201,6744,73.9,25.5,0.7,0.0,PA,4984.0,1720.0,47.0,0.0
270,1507300,52818,66.4,32.7,1.0,0.0,PA,35071.0,17271.0,528.0,0.0
271,1507409,5195,59.4,40.5,0.1,0.0,PA,3086.0,2104.0,5.0,0.0
272,1507458,13308,51.8,8.2,0.0,40.0,PA,6894.0,1091.0,0.0,5323.0
273,1507466,1098,88.6,11.3,0.2,0.0,PA,973.0,124.0,2.0,0.0
274,1507474,10939,86.3,12.6,1.1,0.0,PA,9440.0,1378.0,120.0,0.0
